SG_id,x,y,z,dir
247.1,0.0,0.0,0.4125,up
263.1,0.0,0.0,0.6625,up
266.3,0.5,0.25,0.6625,up
281.1,0.0,0.25,0.9125,up
298.0,0.5,0.25,1.2,up
302.1,0.0,0.0,0.1625,up
