SG_id,x,y,z,dir
6.0,-1.5,0.0,0.0,up
12.0,-2.22045e-16,0.0,0.0,up
18.0,1.5,0.0,0.0,up
2.0,-2.5,0.0,0.0,right
5.0,-1.75,0.0,0.0,right
8.0,-1.0,0.0,0.0,right
11.0,-0.25,0.0,0.0,right
14.0,0.5,0.0,0.0,right
16.0,1.0,0.0,0.0,right
21.1,2.5,0.0,0.0,right
