SG_id,x,y,z,dir
8.0,6.0,2.8,0.0,up
20.0,6.0,0.0,0.0,up
317.9,-0.2802,2.8,0.0,up
17.0,1.5,0.0,3.0,right
17.9,2.85,0.0,0.300002,right
147.0,15.0,0.0,0.0,right
318.1,-0.1944,2.8,0.0,right
320.1,15.1944,2.8,0.0,right
